date,stock,RCV,RVT,positivePartscr,negativePartscr,splogscr,linscr
2012-02-06T00:00:00Z,PX,-61.784,0.0012,0,0,0,0
2012-02-07T00:00:00Z,PX,12.366,4e-4,0,0,0,0
2012-02-08T00:00:00Z,PX,-23.353,3e-4,0,0,0,0
2012-02-09T00:00:00Z,PX,24.675,4e-4,0,0.0031,-0.0323,0
2012-02-10T00:00:00Z,PX,40.196,6e-4,0,0.0047,-0.04,0
2012-02-11T00:00:00Z,PX,-52.83,3e-4,0,0,0,0
2012-02-14T00:00:00Z,PX,-14.737,3e-4,0.0048,0.0191,-0.0345,20
2012-02-15T00:00:00Z,PX,36.884,5e-4,0.0121,0.0091,-0.028,30.2035
2012-02-16T00:00:00Z,PX,-6.634,2e-4,5e-4,0.0023,-0.0287,32.0276
2012-02-17T00:00:00Z,PX,17.16,3e-4,0.0026,0.0026,0,50
2012-02-18T00:00:00Z,PX,-34.426,3e-4,0,0,0,0
2012-02-21T00:00:00Z,PX,-43.187,3e-4,0,0,0,0
2012-02-22T00:00:00Z,PX,-61.556,1e-4,0,0.0031,-0.0589,0
2012-02-23T00:00:00Z,PX,-13.229,3e-4,0,0,0,0
2012-02-24T00:00:00Z,PX,-22.467,2e-4,0,0.0051,-0.0417,0
2012-02-25T00:00:00Z,PX,34.723,6e-4,0.004,0,0.029,100
2012-02-26T00:00:00Z,PX,-51.579,0.0021,0,0,0,0
2012-02-27T00:00:00Z,PX,-51.042,0.001,0,0,0,0
2012-02-28T00:00:00Z,PX,54.438,6e-4,0.0029,0.001,0.1041,84.3645
2012-02-29T00:00:00Z,PX,46.633,6e-4,0.0016,0.0016,0,50
2012-03-01T00:00:00Z,PX,10.833,3e-4,0,0,0,0
2012-02-02T00:00:00Z,CHS,-50,1e-4,0.021,0.007,0.0069,75
2012-02-03T00:00:00Z,CHS,45.455,1e-4,0.0024,0.0012,1e-4,52.0548
2012-02-04T00:00:00Z,CHS,-51.999,0,0.0172,0,0.0085,100
2012-02-10T00:00:00Z,CHS,-50,0,0.0147,0.0037,0.0054,79.8913
2012-02-14T00:00:00Z,CHS,-48.149,0,0.0154,6e-4,0.0073,96.25
2012-02-15T00:00:00Z,CHS,33.333,1e-4,0.0254,0,0.0367,100
2012-02-16T00:00:00Z,CHS,31.25,1e-4,0.0056,0.0028,0.0014,66.6667
2012-02-18T00:00:00Z,CHS,-2.856,1e-4,0,0,0,0
2012-02-21T00:00:00Z,CHS,-50,1e-4,0,0.0037,-0.0018,0
2012-02-22T00:00:00Z,CHS,47.368,1e-4,0,0.011,-0.0109,0
2012-02-23T00:00:00Z,CHS,89.118,0.001,0.0105,0.0105,0.0061,51.3911
2012-02-24T00:00:00Z,CHS,-72,0,0.0273,0.005,0.011,84.5201
2012-02-25T00:00:00Z,CHS,-42.857,1e-4,0,0,0,0
2012-02-28T00:00:00Z,CHS,65.217,3e-4,0,0,0,0
2012-02-29T00:00:00Z,CHS,59.167,3e-4,0.0013,0.0013,0,50
2012-03-01T00:00:00Z,CHS,30.667,2e-4,0.0331,0.0061,0.0392,84.3672
2012-02-03T00:00:00Z,AGM,51.25,2e-4,0.0099,0.0017,0.0125,77.5378
2012-02-04T00:00:00Z,AGM,48.236,2e-4,0.004,0.004,0.004,56.6775
2012-02-07T00:00:00Z,AGM,45.556,1e-4,7e-4,0.0013,-0.0053,14.1892
2012-02-08T00:00:00Z,AGM,-25.49,1e-4,0.022,0,0.0172,100
