date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012-02-15,27.256,83.632,46.333,54.167,-40.384,-47.977,-45.3,3.888,-62.791,13.978,31.883,40.238,,49.832,-75.833,-88.123,,13.71,38.112,-0.535,6.25,-66.467,-67.059,-50.0,28.124,58.918,31.61,-6.798,-15.789,-37.838,47.552
2012-02-16,49.475,66.203,49.026,,-39.623,34.767,26.06,-82.184,-43.182,34.375,-50.0,43.59,,29.638,-50.82,38.616,9.26,30.0,40.68,31.944,51.515,-15.697,,80.808,83.03,47.368,-26.23,79.629,53.703,65.0,43.422
2012-02-17,40.584,23.0,6.763,,-9.173,-14.439,7.353,42.5,,24.243,,8.108,,-22.956,-74.796,-76.173,38.095,-13.913,35.712,-17.91,-30.613,14.761,-1.137,52.353,-5.556,-4.88,18.064,8.088,-25.926,-41.86,38.212
2012-02-18,34.72,46.795,6.616,,61.438,26.136,37.143,-64.516,-61.194,-42.697,,42.308,-60.317,-44.272,0.78,6.536,-45.283,-13.56,44.258,-50.0,3.81,-48.901,-66.293,-78.527,-52.054,29.167,30.728,-44.882,74.545,-70.115,-0.282
2012-02-19,,,-48.248,,,,,,,,,,,,,,,,-80.222,,,,,,,,,,,,-97.444
2012-02-20,-47.291,-67.857,-80.857,-24.998,,-82.653,,,,-80.447,,,,,,,-44.444,,-86.582,,,,,,,-52.326,,,,,-97.393
2012-02-21,17.568,,-4.204,,,,,-63.83,-80.0,,0.0,-72.822,-59.374,0.3,,-75.695,47.004,12.858,-25.264,,-64.705,,1.077,,-75.51,29.367,16.364,9.028,,,-26.095
2012-02-22,36.952,-67.059,58.654,-23.077,12.858,-30.0,71.031,,27.551,14.352,,17.778,-58.461,-54.762,-48.837,82.407,-45.3,35.606,41.409,44.155,28.378,-31.183,55.803,-34.94,-75.0,-52.222,15.882,-17.164,-45.455,-69.319,57.311
2012-02-23,22.292,-66.279,36.044,31.82,40.74,-12.194,31.532,-45.026,-40.0,13.963,,25.366,-57.575,1.709,-22.728,-25.788,-44.538,54.223,42.435,30.864,41.578,26.515,46.97,47.448,19.474,88.43,15.428,26.842,7.693,17.858,45.873
2012-02-24,38.255,,66.714,,-15.266,-29.186,47.369,-44.33,-79.452,47.105,0.0,6.548,-56.716,84.432,-22.221,-35.775,,42.51,27.413,36.757,86.051,-65.306,-5.556,-35.955,18.974,62.223,,-17.605,,17.243,39.79
