year,week,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012,46,10.0,15.0,16.0,27.0,28.0,6.0,29.0,21.0,5.0,17.0,14.0,4.0,26.0,9.0,11.0,1.0,12.0,22.0,2.0,30.0,7.0,24.0,19.0,18.0,8.0,25.0,31.0,20.0,3.0,13.0,23.0
2012,47,2.0,21.0,23.0,27.0,28.0,25.0,29.0,22.0,14.0,20.0,13.0,7.0,3.0,6.0,15.0,11.0,16.0,5.0,17.0,30.0,26.0,1.0,19.0,10.0,18.0,9.0,31.0,4.0,24.0,12.0,8.0
2012,48,24.0,20.0,15.0,27.0,28.0,5.0,29.0,17.0,6.0,10.0,8.0,9.0,3.0,23.0,13.0,26.0,19.0,14.0,25.0,30.0,4.0,7.0,2.0,21.0,1.0,22.0,31.0,11.0,12.0,18.0,16.0
2012,49,25.0,3.0,13.0,27.0,28.0,9.0,29.0,19.0,11.0,16.0,5.0,21.0,23.0,26.0,22.0,7.0,4.0,14.0,15.0,30.0,17.0,24.0,6.0,20.0,1.0,10.0,31.0,2.0,8.0,12.0,18.0
2012,50,15.0,12.0,8.0,27.0,28.0,10.0,29.0,2.0,5.0,13.0,20.0,25.0,4.0,18.0,21.0,22.0,14.0,16.0,23.0,30.0,19.0,1.0,7.0,6.0,26.0,24.0,31.0,3.0,17.0,9.0,11.0
2012,51,24.0,9.0,17.0,27.0,28.0,11.0,29.0,6.0,15.0,19.0,21.0,8.0,7.0,23.0,16.0,26.0,20.0,13.0,3.0,30.0,14.0,22.0,4.0,2.0,10.0,1.0,31.0,12.0,5.0,18.0,25.0
2012,52,1.0,8.0,11.0,27.0,28.0,7.0,29.0,22.0,5.0,3.0,13.0,25.0,18.0,19.0,9.0,4.0,10.0,14.0,21.0,30.0,20.0,24.0,15.0,16.0,6.0,26.0,31.0,12.0,17.0,2.0,23.0
2013,1,5.0,22.0,2.0,28.0,20.0,16.0,29.0,12.0,27.0,21.0,14.0,9.0,19.0,8.0,17.0,26.0,23.0,3.0,7.0,30.0,18.0,25.0,10.0,1.0,11.0,6.0,31.0,24.0,13.0,15.0,4.0
2013,2,1.0,13.0,4.0,27.0,28.0,16.0,29.0,20.0,19.0,5.0,10.0,9.0,2.0,23.0,17.0,26.0,24.0,18.0,22.0,30.0,21.0,3.0,25.0,6.0,15.0,8.0,31.0,14.0,11.0,7.0,12.0
2013,3,22.0,15.0,23.0,27.0,28.0,21.0,29.0,4.0,2.0,19.0,1.0,20.0,13.0,5.0,12.0,3.0,16.0,6.0,8.0,30.0,17.0,10.0,26.0,14.0,25.0,11.0,31.0,9.0,18.0,7.0,24.0
