Date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PNW,RMBS,SEB,SF,SIX,SM,TRN,VAC,VC,WIRE,PCI,TCO
2014-06-05,13.228738784790039,28.835247039794922,240.4851531982422,,61.16057586669922,23.65214729309082,,14.674318313598633,28.955167770385742,19.59543800354004,83.04959106445312,41.68385314941406,7.449999809265137,31.312482833862305,26.323659896850586,43.00170135498047,42.416114807128906,58.349998474121094,68.40632629394531,41.4872932434082,11.829999923706055,2902.44189453125,29.04196548461914,30.7967472076416,72.62615203857422,23.874462127685547,51.66244125366211,53.98642349243164,49.92684555053711,,
2014-06-06,13.41447639465332,28.46396255493164,247.80189514160156,,61.07392120361328,23.863128662109375,,14.723587989807129,29.389083862304688,19.347501754760742,84.11305236816406,41.499778747558594,7.5,31.973857879638672,26.601402282714844,43.32125473022461,42.18501663208008,58.630001068115234,69.20479583740234,41.314395904541016,12.180000305175781,2892.54345703125,29.5750789642334,30.834012985229492,72.43363189697266,24.65113067626953,51.20108413696289,54.577266693115234,50.440040588378906,,
2014-06-09,13.280332565307617,28.092697143554688,248.7793426513672,,59.9473762512207,24.037405014038086,,14.616832733154297,29.34086799621582,19.441539764404297,84.64834594726562,41.44121170043945,7.599999904632568,31.79140281677246,26.848285675048828,43.016231536865234,41.51669692993164,58.65999984741211,70.03013610839844,40.991172790527344,12.260000228881836,2875.40576171875,30.082805633544922,31.094797134399414,73.42507934570312,24.72551918029785,50.9296989440918,54.31081008911133,51.5749397277832,,
2014-06-10,13.228738784790039,27.845176696777344,247.55056762695312,,58.686038970947266,23.964025497436523,,14.64968204498291,29.127355575561523,19.37314796447754,84.32003021240234,41.784244537353516,7.699999809265137,31.380910873413086,26.269651412963867,42.76203918457031,41.17943572998047,58.79999923706055,70.38899993896484,40.88592529296875,12.359999656677246,2872.775146484375,29.746435165405273,31.05008888244629,71.63471221923828,24.585657119750977,50.99302291870117,54.362937927246094,51.0518913269043,,
2014-06-11,13.202945709228516,27.699586868286133,248.58380126953125,,59.02303695678711,23.59711265563965,,14.641469955444336,28.493703842163086,19.646732330322266,84.45564270019531,41.50813674926758,7.929999828338623,31.15283966064453,26.121767044067383,42.34075164794922,40.86712646484375,58.310001373291016,68.92708587646484,40.47248458862305,13.0,2887.6083984375,29.238710403442383,31.064992904663086,73.36734771728516,24.448774337768555,50.64022445678711,54.472999572753906,50.23277282714844,,
2014-06-12,13.02236270904541,27.830625534057617,245.00927734375,,59.6970329284668,23.39531135559082,,14.28836727142334,28.293973922729492,19.52703857421875,84.5412826538086,41.407745361328125,7.809999942779541,30.97039794921875,26.043935775756836,41.82965850830078,40.654762268066406,58.2599983215332,69.54071044921875,40.63033676147461,13.6899995803833,2895.520263671875,28.883298873901367,30.498703002929688,75.55236053466797,24.29999351501465,50.558807373046875,53.49406051635742,49.29524230957031,,
2014-06-13,13.08427619934082,27.91070556640625,251.1717071533203,,59.67778015136719,23.40447998046875,,14.370485305786133,28.514360427856445,19.783525466918945,85.00521087646484,41.36589813232422,8.0,31.244056701660156,26.051715850830078,41.90996551513672,40.82339859008789,58.689998626708984,69.9738998413086,40.75813674926758,13.640000343322754,2900.928955078125,28.991188049316406,30.32730484008789,75.13846588134766,24.21368980407715,51.01111602783203,53.841609954833984,49.17680740356445,,
2014-06-16,13.048161506652832,27.648622512817383,254.73707580566406,,60.07255172729492,23.16598892211914,,14.23909854888916,28.486820220947266,19.894668579101562,84.68403625488281,41.70895004272461,7.949999809265137,31.183252334594727,26.043935775756836,41.78584671020508,40.79841232299805,58.56999969482422,70.2446060180664,41.13399887084961,14.380000114440918,2865.8525390625,29.092731475830078,30.453977584838867,76.16842651367188,25.145097732543945,50.64022445678711,53.85899353027344,48.653751373291016,,
2014-06-17,13.166827201843262,27.583106994628906,253.65719604492188,,61.141319274902344,23.390727996826172,,14.674318313598633,28.83119773864746,20.031463623046875,85.75462341308594,41.265499114990234,8.079999923706055,31.35050392150879,26.199604034423828,42.32613754272461,40.91083526611328,59.22999954223633,70.31678771972656,40.93854904174805,14.600000381469727,2880.0830078125,29.97490882873535,30.453977584838867,77.77593231201172,24.966556549072266,51.06539535522461,54.113861083984375,49.61103820800781,,
2014-06-18,13.290650367736816,27.72870445251465,253.89918518066406,,61.420555114746094,23.551250457763672,,14.94530200958252,29.306434631347656,20.3306941986084,86.06153106689453,41.81771469116211,8.09000015258789,31.738197326660156,26.277437210083008,42.180118560791016,41.44799041748047,58.849998474121094,70.36192321777344,41.94585037231445,14.65999984741211,2897.49755859375,30.24781608581543,30.774389266967773,79.24866485595703,25.296865463256836,51.37296676635742,54.98853302001953,49.73933792114258,,
