Date,AGM,AUD,CASH,CHS,FOR,PRO,PX,SD,SENS,STAR,WTI,INTL
2017-05-01,8.0,10.0,4.0,6.0,5.0,1.0,,7.0,9.0,3.0,2.0,
2017-05-08,1.0,10.0,6.0,8.0,5.0,3.0,,2.0,9.0,7.0,4.0,
2017-05-15,7.0,8.0,4.0,10.0,5.0,2.0,,3.0,9.0,6.0,1.0,
2017-05-22,5.0,2.0,4.0,10.0,7.0,3.0,,8.0,1.0,6.0,9.0,
2017-05-29,6.0,1.0,7.0,3.0,2.0,4.0,,8.0,10.0,5.0,9.0,
2017-06-05,2.0,9.0,3.0,7.0,1.0,10.0,,8.0,4.0,6.0,5.0,
2017-06-12,2.0,5.0,7.0,4.0,6.0,8.0,,10.0,9.0,3.0,1.0,
2017-06-19,6.0,4.0,9.0,8.0,2.0,3.0,,10.0,1.0,7.0,5.0,
2017-06-26,7.0,4.0,3.0,2.0,8.0,6.0,,1.0,10.0,5.0,9.0,
2017-07-03,3.0,9.0,5.0,8.0,6.0,2.0,,4.0,1.0,7.0,10.0,
2017-07-10,8.0,9.0,7.0,10.0,5.0,4.0,,2.0,1.0,6.0,3.0,
2017-07-17,4.0,9.0,3.0,2.0,10.0,6.0,,5.0,1.0,7.0,8.0,
2017-07-24,6.0,2.0,10.0,5.0,7.0,9.0,,3.0,1.0,8.0,4.0,
2017-07-31,5.0,6.0,1.0,3.0,4.0,9.0,,10.0,8.0,7.0,2.0,
2017-08-07,7.0,1.0,9.0,10.0,4.0,5.0,,6.0,3.0,2.0,8.0,
2017-08-14,2.0,6.0,8.0,10.0,4.0,5.0,,7.0,1.0,3.0,9.0,
2017-08-21,5.0,1.0,6.0,2.0,7.0,9.0,,4.0,10.0,8.0,3.0,
2017-08-28,4.0,10.0,3.0,8.0,5.0,2.0,,9.0,1.0,7.0,6.0,
2017-09-04,8.0,3.0,9.0,4.0,5.0,10.0,,1.0,2.0,7.0,6.0,
2017-09-11,6.0,5.0,2.0,4.0,9.0,10.0,,3.0,7.0,8.0,1.0,
2017-09-18,2.0,3.0,7.0,8.0,6.0,9.0,,5.0,10.0,4.0,1.0,
2017-09-25,5.0,7.0,3.0,1.0,10.0,8.0,,6.0,4.0,9.0,2.0,
2017-10-02,3.0,1.0,6.0,9.0,10.0,5.0,,8.0,2.0,4.0,7.0,
2017-10-09,3.0,8.0,4.0,10.0,1.0,2.0,,7.0,9.0,6.0,5.0,
